effect_size,sample_size,statistical_power
0.1,5,0.041247166701112836
0.1,10,0.05011162938454827
0.1,15,0.05789395702641731
0.1,20,0.06516696166520974
0.1,25,0.0721450369658938
0.1,30,0.0789341428259629
0.3,5,0.0986678265351566
0.3,10,0.1559324373538873
0.3,15,0.21240478119369754
0.3,20,0.2681692886474405
0.3,25,0.32275811025034773
0.3,30,0.37568541657295274
0.5,5,0.1999034893843188
0.5,10,0.3523954801601089
0.5,15,0.49062239820940834
0.5,20,0.6087520722484667
0.5,25,0.705401483784302
0.5,30,0.7818960779812304
0.8,5,0.4320546335059794
0.8,10,0.7156008272218688
0.8,15,0.8725204725918443
0.8,20,0.9471373118064362
0.8,25,0.9793248371339299
0.8,30,0.99
1.0,5,0.6087520722484667
1.0,10,0.8853720153580766
1.0,15,0.9721249077553743
1.0,20,0.99
1.0,25,0.99
1.0,30,0.99
1.5,5,0.9183565922385699
1.5,10,0.99
1.5,15,0.99
1.5,20,0.99
1.5,25,0.99
1.5,30,0.99
2.0,5,0.99
2.0,10,0.99
2.0,15,0.99
2.0,20,0.99
2.0,25,0.99
2.0,30,0.99
